chr,start,end,2mo,9mo,18mo,gene_chr,gene_start,gene_end,gene_name,gene_type
chr11,103032133,103032161,0.66,0.52,0.43,chr11,102861337,103077903,Gm26668,lincRNA
chr11,103056498,103056818,0.67,0.53,0.42,chr11,103026190,103070912,Nmt1,protein_coding
chr11,103056498,103056818,0.67,0.53,0.42,chr11,102861337,103077903,Gm26668,lincRNA
chr11,103081839,103082035,0.57,0.78,0.73,chr11,103068304,103103658,Plcd3,protein_coding
chr11,103136768,103136833,0.84,0.69,0.61,chr11,103130429,103141876,Hexim2,protein_coding
chr11,103140625,103140668,0.54,0.45,0.34,chr11,103130429,103141876,Hexim2,protein_coding
chr11,103195348,103195362,0.54,0.43,0.33,chr11,103169107,103200901,Fmnl1,protein_coding
chr11,103223484,103223646,0.78,0.63,0.57,chr11,103217762,103269472,Map3k14,protein_coding
chr11,103382765,103383273,0.63,0.5,0.37,chr11,103362275,103414687,Plekhm1,protein_coding
chr11,103386752,103386927,0.71,0.6,0.48,chr11,103362275,103414687,Plekhm1,protein_coding
chr11,103394093,103394158,0.54,0.38,0.28,chr11,103362275,103414687,Plekhm1,protein_coding
chr11,103494352,103494360,0.72,0.58,0.47,chr11,103449955,103506597,Lrrc37a,protein_coding
chr11,103733031,103733475,0.72,0.51,0.4,chr11,103725364,103751821,Wnt9b,protein_coding
chr11,103750813,103751047,0.59,0.46,0.31,chr11,103725364,103751821,Wnt9b,protein_coding
chr11,103801408,103801438,0.55,0.39,0.18,chr11,103772150,103819957,Wnt3,protein_coding
chr11,103868981,103868996,0.67,0.46,0.27,chr11,103819782,103956056,Nsf,protein_coding
chr11,103884529,103884653,0.51,0.38,0.29,chr11,103819782,103956056,Nsf,protein_coding
chr11,103912524,103912529,0.54,0.41,0.33,chr11,103819782,103956056,Nsf,protein_coding
chr11,104146280,104146285,0.5,0.31,0.26,chr11,104130855,104177523,Crhr1,protein_coding
chr11,104171925,104171931,0.6,0.51,0.35,chr11,104130855,104177523,Crhr1,protein_coding
chr11,104504614,104504636,0.72,0.66,0.5,chr11,104500745,104552620,Cdc27,protein_coding
chr11,105330257,105330292,0.48,0.29,0.21,chr11,105290643,105353139,Mrc2,protein_coding
chr11,105383195,105383263,0.57,0.45,0.35,chr11,105358798,105458735,March10,protein_coding
chr11,105383195,105383263,0.57,0.45,0.35,chr11,105361252,105392642,Gm11638,processed_transcript
chr11,105385149,105385217,0.81,0.64,0.59,chr11,105358798,105458735,March10,protein_coding
chr11,105385149,105385217,0.81,0.64,0.59,chr11,105361252,105392642,Gm11638,processed_transcript
chr11,105420276,105420370,0.64,0.54,0.42,chr11,105358798,105458735,March10,protein_coding
chr11,105983147,105983157,0.38,0.24,0.18,chr11,105963608,105987694,Gm11651,antisense
chr11,105983147,105983157,0.38,0.24,0.18,chr11,105965945,105991964,Ace,protein_coding
chr11,106032263,106032352,0.35,0.45,0.15,chr11,106006124,106036549,Kcnh6,protein_coding
chr11,106181089,106181153,0.62,0.41,0.32,chr11,106161330,106204168,Strada,protein_coding
chr11,106199920,106199999,0.68,0.54,0.44,chr11,106195408,106218344,Ccdc47,protein_coding
chr11,106199920,106199999,0.68,0.54,0.44,chr11,106161330,106204168,Strada,protein_coding
chr11,106376133,106376271,0.69,0.54,0.43,chr11,106363472,106379558,2310007L24Rik,protein_coding
chr11,106376133,106376271,0.69,0.54,0.43,chr11,106375656,106390075,Icam2,protein_coding
chr11,106480636,106480818,0.74,0.66,0.52,chr11,106392650,106489852,Ern1,protein_coding
chr11,106575431,106575500,0.65,0.58,0.44,chr11,106500147,106615423,Tex2,protein_coding
chr11,107088930,107088951,0.81,0.76,0.6,chr11,107031081,107134127,Bptf,protein_coding
chr11,107240737,107240904,0.53,0.38,0.31,chr11,107205892,107472699,Pitpnc1,protein_coding
chr11,107302241,107302279,0.49,0.32,0.24,chr11,107205892,107472699,Pitpnc1,protein_coding
chr11,107314309,107314340,0.82,0.71,0.53,chr11,107205892,107472699,Pitpnc1,protein_coding
chr11,107406808,107406818,0.5,0.24,0.18,chr11,107205892,107472699,Pitpnc1,protein_coding
chr11,107577752,107577763,0.65,0.55,0.42,chr11,107545930,107695826,Helz,protein_coding
chr11,107631221,107631251,0.44,0.65,0.68,chr11,107545930,107695826,Helz,protein_coding
chr11,107636236,107636368,0.6,0.51,0.38,chr11,107635722,107639779,Mir6932,miRNA
chr11,107636236,107636368,0.6,0.51,0.38,chr11,107545930,107695826,Helz,protein_coding
chr11,107662395,107662422,0.37,0.26,0.17,chr11,107545930,107695826,Helz,protein_coding
chr11,108190334,108190557,0.42,0.25,0.14,chr11,108179850,108196126,Gm11655,antisense
chr11,108190334,108190557,0.42,0.25,0.14,chr11,107931387,108345928,Prkca,protein_coding
chr11,108302182,108302189,0.57,0.46,0.33,chr11,107931387,108345928,Prkca,protein_coding
chr11,108465121,108465141,0.51,0.36,0.3,chr11,108423192,108862615,Cep112,protein_coding
chr11,108691223,108691294,0.67,0.58,0.38,chr11,108423192,108862615,Cep112,protein_coding
chr11,108720414,108720450,0.5,0.3,0.26,chr11,108423192,108862615,Cep112,protein_coding
chr11,108774563,108774785,0.87,0.72,0.66,chr11,108423192,108862615,Cep112,protein_coding
chr11,109258947,109259047,0.63,0.44,0.36,chr11,109223355,109300129,Rgs9,protein_coding
chr11,109259562,109259703,0.71,0.61,0.46,chr11,109223355,109300129,Rgs9,protein_coding
chr11,109437997,109438163,0.39,0.26,0.18,chr11,109435172,109440145,Gm15642,antisense
chr11,109437997,109438163,0.39,0.26,0.18,chr11,109423946,109454813,Amz2,protein_coding
chr11,109606764,109606796,0.48,0.37,0.25,chr11,109571331,109613967,Wipi1,protein_coding
chr11,109672129,109672217,0.79,0.7,0.57,chr11,109667749,109724279,Fam20a,protein_coding
chr11,109971844,109971937,0.87,0.72,0.59,chr11,109930190,109997845,Abca8b,protein_coding
chr11,109991506,109991536,0.49,0.28,0.22,chr11,109930190,109997845,Abca8b,protein_coding
chr11,110029477,110029492,0.41,0.26,0.19,chr11,110023634,110097978,Abca8a,protein_coding
chr11,110080986,110081036,0.38,0.34,0.18,chr11,110023634,110097978,Abca8a,protein_coding
chr11,110195554,110195588,0.37,0.22,0.16,chr11,110174820,110253776,Abca6,protein_coding
chr11,110480627,110481020,0.16,0.32,0.37,chr11,110397122,110527522,Map2k6,protein_coding
chr11,110509438,110509587,0.55,0.48,0.34,chr11,110397122,110527522,Map2k6,protein_coding
chr11,110511320,110511335,0.79,0.72,0.58,chr11,110397122,110527522,Map2k6,protein_coding
chr11,113464358,113464555,0.82,0.58,0.52,chr11,113242853,113652079,Slc39a11,protein_coding
chr11,113492303,113492328,0.48,0.32,0.22,chr11,113242853,113652079,Slc39a11,protein_coding
chr11,113584744,113584749,0.47,0.34,0.25,chr11,113242853,113652079,Slc39a11,protein_coding
chr11,113690962,113690973,0.6,0.51,0.36,chr11,113682412,113696647,D11Wsu47e,protein_coding
chr11,113833402,113833435,0.7,0.55,0.43,chr11,113774374,114069046,Sdk2,protein_coding
chr11,115199128,115199186,0.39,0.6,0.5,chr11,115185487,115249023,Tmem104,protein_coding
chr11,115327391,115327606,0.73,0.59,0.45,chr11,115305163,115334303,Otop2,protein_coding
chr11,115332975,115332983,0.22,0.32,0.42,chr11,115305163,115334303,Otop2,protein_coding
chr11,115332975,115332983,0.22,0.32,0.42,chr11,115332731,115348927,Otop3,protein_coding
chr11,115351109,115351159,0.62,0.5,0.38,chr11,115345707,115369756,Hid1,protein_coding
chr11,115580768,115580818,0.59,0.42,0.3,chr11,115562434,115585985,Nup85,protein_coding
chr11,115622554,115622562,0.81,0.69,0.6,chr11,115612178,115630295,Slc25a19,protein_coding
chr11,115622554,115622562,0.81,0.69,0.6,chr11,115613462,115628707,Gm26613,lincRNA
chr11,115855100,115855219,0.79,0.67,0.52,chr11,115822049,115857780,Llgl2,protein_coding
chr11,116056958,116057038,0.6,0.44,0.34,chr11,116028322,116063214,Unk,protein_coding
chr11,116113983,116113997,0.73,0.63,0.49,chr11,116103752,116129210,Trim47,protein_coding
chr11,116114123,116114177,0.68,0.51,0.47,chr11,116103752,116129210,Trim47,protein_coding
chr11,116176119,116176329,0.61,0.46,0.38,chr11,116169888,116201045,Acox1,protein_coding
chr11,116250011,116250021,0.65,0.52,0.39,chr11,116243166,116276217,Srp68,protein_coding
chr11,116250146,116250212,0.74,0.55,0.47,chr11,116243166,116276217,Srp68,protein_coding
chr11,116541905,116541912,0.62,0.46,0.4,chr11,116535740,116583447,Ube2o,protein_coding
chr11,116617539,116617542,0.63,0.45,0.4,chr11,116596165,116629019,Rhbdf2,protein_coding
chr11,116821224,116821430,0.48,0.38,0.27,chr11,116801062,116830046,Mxra7,protein_coding
chr11,116949955,116949974,0.68,0.55,0.44,chr11,116916863,116988948,Mgat5b,protein_coding
chr11,117259663,117259720,0.7,0.48,0.42,chr11,117255649,117265437,Gm16045,antisense
chr11,117259663,117259720,0.7,0.48,0.42,chr11,117197661,117364325,Sept9,protein_coding
chr11,117308050,117308220,0.61,0.48,0.37,chr11,117197661,117364325,Sept9,protein_coding
chr11,118268164,118268189,0.42,0.29,0.17,chr11,118257651,118292244,Usp36,protein_coding
chr11,118505711,118505850,0.64,0.53,0.41,chr11,118487762,118913597,Rbfox3,protein_coding
chr11,118513703,118513730,0.38,0.27,0.16,chr11,118487762,118913597,Rbfox3,protein_coding
chr11,118764011,118764081,0.48,0.39,0.26,chr11,118487762,118913597,Rbfox3,protein_coding
chr11,118845394,118845411,0.55,0.46,0.33,chr11,118487762,118913597,Rbfox3,protein_coding
chr11,119794856,119795000,0.77,0.63,0.54,chr11,119600905,119901576,Rptor,protein_coding
chr11,119822298,119822685,0.41,0.33,0.2,chr11,119818812,119836365,Rptoros,antisense
chr11,119822298,119822685,0.41,0.33,0.2,chr11,119600905,119901576,Rptor,protein_coding
chr11,119897356,119897370,0.72,0.48,0.49,chr11,119600905,119901576,Rptor,protein_coding
chr11,119897603,119897659,0.65,0.46,0.43,chr11,119600905,119901576,Rptor,protein_coding
chr11,119982807,119982892,0.47,0.37,0.24,chr11,119940763,120008782,Baiap2,protein_coding
chr11,119998992,119999130,0.57,0.48,0.37,chr11,119940763,120008782,Baiap2,protein_coding
chr11,120127949,120128088,0.59,0.38,0.3,chr11,120101960,120153346,Slc38a10,protein_coding
chr11,120135247,120135438,0.54,0.37,0.27,chr11,120101960,120153346,Slc38a10,protein_coding
chr11,120426941,120426946,0.65,0.51,0.44,chr11,120378370,120439708,Nploc4,protein_coding
chr11,120455016,120455087,0.42,0.31,0.18,chr11,120445605,120455500,Pde6g,protein_coding
chr11,120455016,120455087,0.42,0.31,0.18,chr11,120454606,120460068,Oxld1,protein_coding
chr11,120725065,120725189,0.58,0.45,0.34,chr11,120719470,120725969,Rac3,protein_coding
chr11,120725065,120725189,0.58,0.45,0.34,chr11,120723399,120729281,Dcxr,protein_coding
chr11,120812136,120812152,0.65,0.53,0.43,chr11,120803940,120826178,Fasn,protein_coding
chr11,121038897,121038905,0.4,0.27,0.14,chr11,121034747,121041418,Cd7,protein_coding
chr11,121038897,121038905,0.4,0.27,0.14,chr11,121027402,121054357,Gm11775,antisense
chr11,121557593,121557702,0.85,0.74,0.61,chr11,121449949,121619164,Tbcd,protein_coding
chr11,121646448,121646710,0.65,0.42,0.4,chr11,121614197,121675153,B3gntl1,protein_coding
chr12,3299161,3299277,0.78,0.65,0.57,chr12,3245430,3311969,Rab10,protein_coding
chr12,3660895,3661342,0.61,0.49,0.35,chr12,3570381,3783796,Dtnb,protein_coding
chr12,3747727,3747850,0.63,0.47,0.4,chr12,3570381,3783796,Dtnb,protein_coding
chr12,3899333,3899540,0.65,0.49,0.41,chr12,3804007,3916443,Dnmt3a,protein_coding
chr12,5141975,5142051,0.65,0.45,0.39,chr12,5075472,5377682,Klhl29,protein_coding
chr12,5162690,5162740,0.44,0.31,0.16,chr12,5075472,5377682,Klhl29,protein_coding
chr12,5269911,5269965,0.41,0.28,0.17,chr12,5075472,5377682,Klhl29,protein_coding
chr12,5316705,5316717,0.73,0.57,0.48,chr12,5075472,5377682,Klhl29,protein_coding
chr12,5380652,5380671,0.67,0.46,0.49,chr12,5373870,5418631,2810032G03Rik,lincRNA
chr12,8778272,8778341,0.72,0.57,0.46,chr12,8769323,8795715,Sdc1,protein_coding
chr12,8778378,8778402,0.68,0.53,0.46,chr12,8769323,8795715,Sdc1,protein_coding
chr12,8875757,8875807,0.72,0.59,0.48,chr12,8871187,8879459,9930038B18Rik,lincRNA
chr12,13326189,13326213,0.62,0.5,0.37,chr12,13267127,13585810,Nbas,protein_coding
chr12,13462456,13462516,0.68,0.39,0.38,chr12,13267127,13585810,Nbas,protein_coding
chr12,13462663,13462686,0.58,0.33,0.28,chr12,13267127,13585810,Nbas,protein_coding
chr12,13487066,13487240,0.63,0.44,0.26,chr12,13267127,13585810,Nbas,protein_coding
chr12,17374217,17374463,0.73,0.61,0.51,chr12,17346458,17432094,Nol10,protein_coding
chr12,21138588,21138806,0.67,0.56,0.46,chr12,20988459,21202919,Gm21989,processed_transcript
chr12,21138588,21138806,0.67,0.56,0.46,chr12,21109748,21272171,Asap2,protein_coding
chr12,21256398,21256462,0.51,0.4,0.24,chr12,21250118,21257952,Gm20535,processed_transcript
chr12,21256398,21256462,0.51,0.4,0.24,chr12,21238825,21288237,Itgb1bp1,protein_coding
chr12,21256398,21256462,0.51,0.4,0.24,chr12,21109748,21272171,Asap2,protein_coding
chr12,21256579,21256594,0.64,0.54,0.42,chr12,21250118,21257952,Gm20535,processed_transcript
chr12,21256579,21256594,0.64,0.54,0.42,chr12,21238825,21288237,Itgb1bp1,protein_coding
chr12,21256579,21256594,0.64,0.54,0.42,chr12,21109748,21272171,Asap2,protein_coding
chr12,21280545,21280561,0.38,0.6,0.56,chr12,21238825,21288237,Itgb1bp1,protein_coding
chr12,21280905,21280935,0.25,0.48,0.29,chr12,21238825,21288237,Itgb1bp1,protein_coding
chr12,25061565,25061582,0.3,0.51,0.43,chr12,24972932,25061697,Kidins220,protein_coding
chr12,26393372,26393505,0.69,0.44,0.32,chr12,26304797,26417256,Rnf144a,protein_coding
chr12,28531846,28531963,0.78,0.67,0.55,chr12,28435795,28554303,Dcdc2c,protein_coding
chr12,28622376,28622381,0.42,0.28,0.15,chr12,28592173,28625290,Colec11,protein_coding
chr12,28726417,28726467,0.76,0.65,0.54,chr12,28688629,28752453,Trappc12,protein_coding
chr12,28739598,28739747,0.56,0.4,0.3,chr12,28688629,28752453,Trappc12,protein_coding
chr12,28782534,28782755,0.86,0.72,0.63,chr12,28749828,28869491,Tssc1,protein_coding
chr12,28787758,28787822,0.76,0.59,0.53,chr12,28749828,28869491,Tssc1,protein_coding
chr12,28855890,28855931,0.6,0.56,0.4,chr12,28749828,28869491,Tssc1,protein_coding
chr12,29790821,29790959,0.76,0.68,0.55,chr12,29526384,29925209,Myt1l,protein_coding
chr12,29876598,29876825,0.55,0.45,0.31,chr12,29526384,29925209,Myt1l,protein_coding
chr12,29944387,29944518,0.54,0.44,0.33,chr12,29936036,30019658,Pxdn,protein_coding
chr12,29979328,29979438,0.73,0.54,0.4,chr12,29936036,30019658,Pxdn,protein_coding
chr12,29992625,29992834,0.61,0.46,0.34,chr12,29936036,30019658,Pxdn,protein_coding
chr12,31498050,31498104,0.68,0.49,0.36,chr12,31498068,31502745,Gm29541,lincRNA
chr12,31498050,31498104,0.68,0.49,0.36,chr12,31482829,31501616,Cbll1,protein_coding
chr12,31561922,31561963,0.73,0.57,0.52,chr12,31517827,31561969,Slc26a4,protein_coding
chr12,31619782,31619818,0.58,0.44,0.36,chr12,31593354,31636658,Bcap29,protein_coding
chr12,31623331,31623576,0.67,0.56,0.42,chr12,31593354,31636658,Bcap29,protein_coding
chr12,31775673,31775812,0.58,0.45,0.34,chr12,31652869,31939630,Cog5,protein_coding
chr12,31872802,31872824,0.54,0.42,0.31,chr12,31652869,31939630,Cog5,protein_coding
chr12,33061697,33061742,0.36,0.25,0.14,chr12,33031796,33094875,Cdhr3,protein_coding
chr12,33061697,33061742,0.36,0.25,0.14,chr12,33060441,33064600,Gm22904,miRNA
chr12,33190228,33190309,0.62,0.5,0.4,chr12,33145693,33377659,Atxn7l1,protein_coding
chr12,33334642,33334775,0.44,0.29,0.18,chr12,33145693,33377659,Atxn7l1,protein_coding
chr12,38500478,38500535,0.64,0.58,0.4,chr12,37878705,38635410,Dgkb,protein_coding
chr12,38586449,38586726,0.69,0.56,0.46,chr12,37878705,38635410,Dgkb,protein_coding
chr12,40365904,40365938,0.81,0.55,0.49,chr12,40313046,40447790,Zfp277,protein_coding
chr12,40562869,40562875,0.79,0.73,0.57,chr12,40444053,40848486,Dock4,protein_coding
chr12,41950096,41950127,0.67,0.61,0.46,chr12,41022090,41957588,Immp2l,protein_coding
chr12,44224455,44224528,0.44,0.26,0.17,chr12,44219370,44314343,Pnpla8,protein_coding
chr12,44416198,44416427,0.76,0.66,0.56,chr12,44326885,44603846,Nrcam,protein_coding
chr12,45029608,45029613,0.68,0.45,0.36,chr12,44850488,45076493,Stxbp6,protein_coding
chr12,45068350,45068501,0.54,0.4,0.32,chr12,44850488,45076493,Stxbp6,protein_coding
chr12,52244968,52244981,0.96,0.89,0.74,chr12,52095737,52314744,Nubpl,protein_coding
chr12,52873880,52873902,0.34,0.19,0.1,chr12,52697383,53153015,Akap6,protein_coding
chr12,53014876,53014883,0.7,0.59,0.47,chr12,52697383,53153015,Akap6,protein_coding
chr12,53836124,53836129,0.72,0.5,0.66,chr12,53246677,54074175,Npas3,protein_coding
chr12,54957156,54957169,0.83,0.81,0.62,chr12,54890989,55016348,Baz1a,protein_coding
chr12,55007503,55007590,0.53,0.38,0.25,chr12,54890989,55016348,Baz1a,protein_coding
chr12,55770128,55770164,0.48,0.33,0.2,chr12,55600929,55823167,Ralgapa1,protein_coding
chr12,58972846,58972907,0.54,0.36,0.27,chr12,58956383,59014017,Sec23a,protein_coding
chr12,61666473,61666504,0.64,0.56,0.38,chr12,61521150,61860342,Lrfn5,protein_coding
chr12,64974979,64975015,0.68,0.54,0.43,chr12,64963742,65024573,Fam179b,protein_coding
chr12,66734578,66734717,0.66,0.44,0.35,chr12,66467568,67224549,Mdga2,protein_coding
chr12,67141758,67141797,0.79,0.62,0.45,chr12,66467568,67224549,Mdga2,protein_coding
chr12,69303247,69303412,0.81,0.73,0.6,chr12,69294681,69312687,Klhdc2,protein_coding
chr12,69705254,69705284,0.58,0.46,0.37,chr12,69688436,69726874,L2hgdh,protein_coding
chr12,69717864,69717923,0.82,0.74,0.62,chr12,69688436,69726874,L2hgdh,protein_coding
chr12,69741187,69741213,0.74,0.63,0.48,chr12,69722962,69746658,Atp5s,protein_coding
chr12,69751509,69751531,0.48,0.34,0.23,chr12,69744848,69792707,Cdkl1,protein_coding
chr12,69753998,69754243,0.54,0.43,0.32,chr12,69744848,69792707,Cdkl1,protein_coding
chr12,69825016,69825132,0.8,0.59,0.55,chr12,69788288,69842479,4930512B01Rik,antisense
chr12,69825016,69825132,0.8,0.59,0.55,chr12,69801750,69895200,Map4k5,protein_coding
chr12,70075108,70075172,0.65,0.43,0.3,chr12,70009435,70113925,Nin,protein_coding
chr12,70334566,70334612,0.42,0.23,0.21,chr12,70242539,70349614,Trim9,protein_coding
chr12,70467770,70467799,0.67,0.56,0.43,chr12,70451095,70470040,Tmx1,protein_coding
chr12,70673446,70673468,0.54,0.44,0.34,chr12,70671646,70675746,Gm24474,snRNA
chr12,70883280,70883395,0.62,0.5,0.4,chr12,70823514,70904232,Frmd6,protein_coding
chr12,71095163,71095298,0.88,0.78,0.66,chr12,71013990,71100592,Arid4a,protein_coding
chr12,72096340,72096493,0.65,0.44,0.35,chr12,72083589,72103461,Jkamp,protein_coding
chr12,72580004,72580086,0.7,0.49,0.39,chr12,72534357,72582213,Pcnxl4,protein_coding
chr12,73107946,73108340,0.55,0.42,0.32,chr12,73097609,73115456,Six4,protein_coding
chr12,73110504,73110514,0.47,0.35,0.25,chr12,73097609,73115456,Six4,protein_coding
chr12,73203249,73203263,0.42,0.63,0.5,chr12,73121717,73275988,Mnat1,protein_coding
chr12,73307938,73307945,0.75,0.58,0.44,chr12,73284779,73356049,Slc38a6,protein_coding
chr12,73337609,73337631,0.61,0.81,0.79,chr12,73284779,73356049,Slc38a6,protein_coding
chr12,73746073,73746250,0.79,0.64,0.56,chr12,73582797,73780185,Prkch,protein_coding
chr12,74044438,74044536,0.56,0.39,0.34,chr12,73995761,74269916,Syt16,protein_coding
chr12,74185759,74185762,0.58,0.45,0.29,chr12,73995761,74269916,Syt16,protein_coding
chr12,74956866,74957011,0.68,0.57,0.47,chr12,74895217,75179332,Kcnh5,protein_coding
chr12,76295799,76295907,0.11,0.31,0.24,chr12,76253232,76321820,Mthfd1,protein_coding
chr12,76308075,76308104,0.56,0.38,0.29,chr12,76253232,76321820,Mthfd1,protein_coding
chr12,76380822,76380828,0.81,0.73,0.55,chr12,76368266,76398950,Zbtb1,protein_coding
chr12,76563548,76563702,0.45,0.3,0.23,chr12,76531560,76581039,Plekhg3,protein_coding
chr12,76603417,76603479,0.67,0.59,0.46,chr12,76578488,76712547,Sptb,protein_coding
chr12,76603539,76603576,0.56,0.45,0.3,chr12,76578488,76712547,Sptb,protein_coding
chr12,76603636,76603667,0.9,0.82,0.69,chr12,76578488,76712547,Sptb,protein_coding
chr12,76642799,76642892,0.45,0.32,0.23,chr12,76578488,76712547,Sptb,protein_coding
chr12,76681596,76681841,0.83,0.71,0.62,chr12,76578488,76712547,Sptb,protein_coding
chr12,76805534,76805637,0.55,0.45,0.31,chr12,76763589,76923412,Fntb,protein_coding
chr12,76805534,76805637,0.55,0.45,0.31,chr12,76795960,76824908,Rab15,protein_coding
chr12,76891218,76891428,0.53,0.42,0.29,chr12,76763589,76923412,Fntb,protein_coding
chr12,78451749,78451935,0.79,0.71,0.57,chr12,78224655,78686767,Gphn,protein_coding
chr12,79258597,79258625,0.78,0.69,0.57,chr12,79230347,79298282,Zfyve26,protein_coding
chr12,79501995,79502004,0.74,0.62,0.52,chr12,79295351,79510656,Rad51b,protein_coding
chr12,80184037,80184244,0.7,0.52,0.48,chr12,80165542,80262371,Actn1,protein_coding
chr12,80257850,80257877,0.76,0.59,0.52,chr12,80165542,80262371,Actn1,protein_coding
chr12,80531914,80531952,0.51,0.39,0.3,chr12,80516990,80605896,Galnt16,protein_coding
chr12,80680771,80680795,0.67,0.51,0.38,chr12,80642215,80685341,Slc39a9,protein_coding
chr12,81031718,81031846,0.56,0.44,0.35,chr12,81024808,81188414,Smoc1,protein_coding
chr12,81916600,81916796,0.43,0.2,0.13,chr12,81858030,82002924,Pcnx,protein_coding
chr12,81971350,81971371,0.58,0.41,0.34,chr12,81858030,82002924,Pcnx,protein_coding
chr12,81971412,81971584,0.59,0.42,0.29,chr12,81858030,82002924,Pcnx,protein_coding
chr12,82415204,82415234,0.55,0.43,0.33,chr12,82168016,82453782,Sipa1l1,protein_coding
chr12,82700377,82700413,0.61,0.48,0.39,chr12,82614925,83164056,Rgs6,protein_coding
chr12,82778626,82778719,0.6,0.43,0.37,chr12,82614925,83164056,Rgs6,protein_coding
chr12,82792391,82792551,0.61,0.45,0.37,chr12,82614925,83164056,Rgs6,protein_coding
chr12,82878742,82878755,0.32,0.53,0.49,chr12,82614925,83164056,Rgs6,protein_coding
chr12,83576885,83576903,0.29,0.51,0.36,chr12,83544941,83599147,Zfyve1,protein_coding
chr12,83592197,83592258,0.48,0.29,0.24,chr12,83544941,83599147,Zfyve1,protein_coding
chr12,84756263,84756396,0.46,0.28,0.23,chr12,84752560,84775112,Npc2,protein_coding
chr12,85263324,85263450,0.43,0.32,0.22,chr12,85232529,85272591,Mlh3,protein_coding
chr12,85299446,85299526,0.38,0.27,0.16,chr12,85286591,85301358,Zc2hc1c,protein_coding
chr12,85299446,85299526,0.38,0.27,0.16,chr12,85297514,85341362,Nek9,protein_coding
chr12,86689513,86689582,0.57,0.48,0.37,chr12,86676700,86694091,Vash1,protein_coding
chr12,87464764,87464862,0.58,0.4,0.32,chr12,87447936,87474299,Snw1,protein_coding
chr12,88431191,88431435,0.83,0.71,0.62,chr12,88358554,88463719,Adck1,protein_coding
chr12,88443247,88443413,0.88,0.77,0.64,chr12,88358554,88463719,Adck1,protein_coding
chr12,88738610,88738832,0.43,0.32,0.22,chr12,88720876,90336935,Nrxn3,protein_coding
chr12,88953150,88954864,0.51,0.37,0.27,chr12,88720876,90336935,Nrxn3,protein_coding
chr12,88971290,88971479,0.75,0.5,0.39,chr12,88720876,90336935,Nrxn3,protein_coding
chr12,89088721,89089068,0.7,0.54,0.44,chr12,88720876,90336935,Nrxn3,protein_coding
chr12,89374003,89374132,0.4,0.19,0.15,chr12,88720876,90336935,Nrxn3,protein_coding
chr12,89795058,89795292,0.56,0.42,0.29,chr12,88720876,90336935,Nrxn3,protein_coding
chr12,89888859,89888897,0.76,0.64,0.52,chr12,88720876,90336935,Nrxn3,protein_coding
chr12,90142415,90142425,0.68,0.56,0.48,chr12,88720876,90336935,Nrxn3,protein_coding
chr12,90166279,90166527,0.63,0.4,0.26,chr12,88720876,90336935,Nrxn3,protein_coding
chr12,90168045,90168083,0.67,0.58,0.46,chr12,88720876,90336935,Nrxn3,protein_coding
chr12,91586004,91586040,0.72,0.57,0.47,chr12,91553916,91592487,Gtf2a1,protein_coding
chr12,95746966,95747003,0.63,0.47,0.42,chr12,95690226,95787215,Flrt2,protein_coding
chr12,95748878,95748910,0.85,0.71,0.63,chr12,95690226,95787215,Flrt2,protein_coding
chr12,98445086,98445145,0.46,0.36,0.22,chr12,98431994,98579940,Kcnk10,protein_coding
chr12,98507175,98507223,0.72,0.56,0.48,chr12,98431994,98579940,Kcnk10,protein_coding
chr12,98669271,98669368,0.78,0.56,0.44,chr12,98626157,98671815,Spata7,protein_coding
chr12,99587505,99587511,0.64,0.52,0.4,chr12,99561841,99622038,Gm26839,lincRNA
chr12,99917827,99917922,0.69,0.52,0.44,chr12,99882517,99957219,Tdp1,protein_coding
chr12,99917973,99918054,0.45,0.23,0.15,chr12,99882517,99957219,Tdp1,protein_coding
chr12,100152542,100152785,0.74,0.52,0.42,chr12,100123452,100161653,Nrde2,protein_coding
chr12,100372944,100373115,0.48,0.32,0.26,chr12,100298771,100522822,Ttc7b,protein_coding
chr12,100429135,100429212,0.68,0.46,0.27,chr12,100298771,100522822,Ttc7b,protein_coding
chr12,100478912,100478969,0.52,0.34,0.23,chr12,100298771,100522822,Ttc7b,protein_coding
chr12,100616025,100616088,0.81,0.64,0.57,chr12,100547778,100727028,Rps6ka5,protein_coding
chr12,100723143,100723221,0.34,0.24,0.12,chr12,100547778,100727028,Rps6ka5,protein_coding
chr12,100872102,100872527,0.67,0.5,0.37,chr12,100777057,100898981,9030617O03Rik,protein_coding
chr12,100957308,100957358,0.56,0.71,0.79,chr12,100910700,101030983,Ccdc88c,protein_coding
chr12,100986934,100987003,0.68,0.49,0.42,chr12,100910700,101030983,Ccdc88c,protein_coding
chr12,101010160,101010182,0.81,0.6,0.51,chr12,100910700,101030983,Ccdc88c,protein_coding
chr12,101893488,101893504,0.59,0.42,0.3,chr12,101832043,101915267,Trip11,protein_coding
chr12,101893561,101893604,0.82,0.71,0.6,chr12,101832043,101915267,Trip11,protein_coding
chr12,102248156,102248197,0.67,0.52,0.45,chr12,102126733,102269091,Slc24a4,protein_coding
chr12,102391443,102391632,0.74,0.55,0.47,chr12,102281048,102392855,Rin3,protein_coding
chr12,102428341,102428425,0.53,0.42,0.32,chr12,102392084,102441813,Lgmn,protein_coding
chr12,102558476,102558500,0.62,0.52,0.35,chr12,102552969,102567027,Chga,protein_coding
